target,text
MERCHENT,UPI/P2M/363588395184/Erica Lane/Fedral Bank
MERCHENT,UPI/P2M/169391460379/Jose Morgan/Fedral Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/947366739513/Melanie Flowers/Yes Bank/UPI
MERCHENT,UPI/P2M/658169835095/Christopher Harvey/State Bank
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/261618394238/Lauren Fitzgerald/Axis Bank
BANK_TRANSFER,UPI/P2A/171747149747/Jorge Benton/State Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/255937317746/Andrew Anderson/Axis Bank
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/225724763130/Dr. Craig Roberts/Yes Bank/UPI
SALARY,INB-BULK-UPLD/176874230516/SALARY/JUN/2020/Jun
MERCHENT,UPI/P2M/576024542949/Joan Lee/State Bank
BANK_TRANSFER,UPI/P2A/430743608437/Andrew Wilson/ICICI Bank/UPI
SALARY,INB-BULK-UPLD/565115056849/SALARY/JUL/2022/Jul
MERCHENT,UPI/P2M/358916822679/Gregory Ortiz/State Bank
BANK_TRANSFER,UPI/P2A/636022864437/Megan Hicks/Fedral Bank/UPI
BANK_TRANSFER,UPI/P2A/775118706495/Jacqueline Lee/HDFC Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/277819936662/Donna Wang/Axis Bank
BANK_TRANSFER,UPI/P2A/786530307611/Amanda Simpson/State Bank/UPI
SALARY,INB-BULK-UPLD/890967685280/SALARY/OCT/2021/Oct
SALARY,INB-BULK-UPLD/170521094773/SALARY/APR/2023/Apr
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/609682652325/SALARY/JUL/2022/Jul
MERCHENT,UPI/P2M/687581460757/Frank Stewart/HDFC Bank
BANK_TRANSFER,UPI/P2A/948080262083/Joseph Stevenson/HDFC Bank/UPI
SALARY,INB-BULK-UPLD/462265462305/SALARY/AUG/2020/Aug
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/331276384017/Patrick Drake/Yes Bank/UPI
SALARY,INB-BULK-UPLD/907088392199/SALARY/APR/2020/Apr
SALARY,INB-BULK-UPLD/342781723567/SALARY/JAN/2020/Jan
BANK_TRANSFER,UPI/P2A/874061412459/Mark Hernandez/Fedral Bank/UPI
SALARY,INB-BULK-UPLD/859118020967/SALARY/AUG/2023/Aug
MERCHENT,UPI/P2M/802458933009/Kathy Martinez/Fedral Bank
BANK_TRANSFER,UPI/P2A/486360939620/Kelsey Kent/Fedral Bank/UPI
BANK_TRANSFER,UPI/P2A/380520238583/Jon Miller/Yes Bank/UPI
SALARY,INB-BULK-UPLD/330330332089/SALARY/JAN/2020/Jan
SALARY,INB-BULK-UPLD/885153078044/SALARY/JUN/2020/Jun
MERCHENT,UPI/P2M/867477093308/Troy Abbott/Fedral Bank
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/983240470241/Alyssa Jackson/HDFC Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/715036802883/Mark Alexander/ICICI Bank/UPI
BANK_TRANSFER,UPI/P2A/214264520657/Barbara Thompson/ICICI Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/903434109091/Regina Conner/Axis Bank/UPI
BANK_TRANSFER,UPI/P2A/308037385875/Melissa Carter/State Bank/UPI
BANK_TRANSFER,UPI/P2A/923988107856/Amy Smith/HDFC Bank/UPI
BANK_TRANSFER,UPI/P2A/661125778501/Martha Smith/State Bank/UPI
BANK_TRANSFER,UPI/P2A/295545090001/Kevin Rios/ICICI Bank/UPI
MERCHENT,UPI/P2M/447743375688/Micheal Blair/Yes Bank
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/313173860181/Gregory Cantu/ICICI Bank
SALARY,INB-BULK-UPLD/138670816509/SALARY/JAN/2022/Jan
MERCHENT,UPI/P2M/531220506462/Dustin Robertson/ICICI Bank
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/584382271048/Michelle Acosta/Axis Bank/UPI
BANK_TRANSFER,UPI/P2A/104344981194/Frederick Hobbs/Fedral Bank/UPI
MERCHENT,UPI/P2M/955477845771/Mark Singh/Fedral Bank
MERCHENT,UPI/P2M/874150351247/Theresa Sullivan/Yes Bank
SALARY,INB-BULK-UPLD/578219413270/SALARY/SEP/2021/Sep
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/899581096981/Stephen Spence/State Bank
BANK_TRANSFER,UPI/P2A/996112028676/Carrie Brown/Fedral Bank/UPI
SALARY,INB-BULK-UPLD/401021400311/SALARY/FEB/2023/Feb
SALARY,INB-BULK-UPLD/235596752104/SALARY/APR/2021/Apr
BANK_TRANSFER,UPI/P2A/211974704771/Samantha Johnson/Axis Bank/UPI
SALARY,INB-BULK-UPLD/526198633647/SALARY/SEP/2022/Sep
SALARY,INB-BULK-UPLD/923489527831/SALARY/MAR/2020/Mar
BANK_TRANSFER,UPI/P2A/988914307795/Michael Evans/ICICI Bank/UPI
MERCHENT,UPI/P2M/398622337791/Darius Freeman/State Bank
BANK_TRANSFER,UPI/P2A/985182866758/Tonya Clark/Fedral Bank/UPI
MERCHENT,UPI/P2M/252239929281/Jennifer Weber/ICICI Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/352339280065/SALARY/JUN/2022/Jun
MERCHENT,UPI/P2M/790086572974/Jay Mitchell/ICICI Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/859425525811/Caitlin Williams/HDFC Bank
MERCHENT,UPI/P2M/626957663977/Kevin Doyle/ICICI Bank
MERCHENT,UPI/P2M/647933908510/George Stokes/HDFC Bank
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/929688871022/SALARY/NOV/2021/Nov
SALARY,INB-BULK-UPLD/917216254695/SALARY/JUL/2022/Jul
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/942410825388/Kevin Rosales/HDFC Bank
BANK_TRANSFER,UPI/P2A/858922467053/Alan Davidson/Axis Bank/UPI
BANK_TRANSFER,UPI/P2A/141801520838/Melissa Lynch/State Bank/UPI
SALARY,INB-BULK-UPLD/155654926777/SALARY/APR/2022/Apr
MERCHENT,UPI/P2M/781954024742/Bridget Hernandez/ICICI Bank
MERCHENT,UPI/P2M/449772919342/Stephen Smith/State Bank
SALARY,INB-BULK-UPLD/666919245531/SALARY/JUL/2023/Jul
SALARY,INB-BULK-UPLD/406899442896/SALARY/JUN/2023/Jun
MERCHENT,UPI/P2M/556430121878/Jennifer Wilson/Yes Bank
MERCHENT,UPI/P2M/912944049055/Dr. Tyler Hawkins/Fedral Bank
SALARY,INB-BULK-UPLD/243016650837/SALARY/OCT/2021/Oct
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/800895177266/SALARY/NOV/2020/Nov
MERCHENT,UPI/P2M/957290745169/Terry Wiley/Axis Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/933910976620/Christian Landry/Yes Bank
BANK_TRANSFER,UPI/P2A/100533729051/Adam Austin/HDFC Bank/UPI
MERCHENT,UPI/P2M/752668108875/Mike Hopkins/Fedral Bank
MERCHENT,UPI/P2M/205738118764/Lisa Kim/Yes Bank
SALARY,INB-BULK-UPLD/718171106309/SALARY/NOV/2021/Nov
MERCHENT,UPI/P2M/945664053373/Robert Winters/Axis Bank
SALARY,INB-BULK-UPLD/252602697880/SALARY/MAY/2022/May
SALARY,INB-BULK-UPLD/233531399846/SALARY/NOV/2022/Nov
SALARY,INB-BULK-UPLD/985361845358/SALARY/MAY/2022/May
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/894849209854/Lori Harris/Fedral Bank
SALARY,INB-BULK-UPLD/531296660846/SALARY/JUN/2023/Jun
SALARY,INB-BULK-UPLD/991353614061/SALARY/JAN/2021/Jan
MERCHENT,UPI/P2M/917901021476/John Mann/Axis Bank
MERCHENT,UPI/P2M/712351805977/Kayla Davis/ICICI Bank
SALARY,INB-BULK-UPLD/330713096040/SALARY/MAY/2023/May
SALARY,INB-BULK-UPLD/852532208915/SALARY/JUN/2021/Jun
MERCHENT,UPI/P2M/346758658506/Casey Pitts/State Bank
BANK_TRANSFER,UPI/P2A/198197330697/Thomas Lucas/ICICI Bank/UPI
SALARY,INB-BULK-UPLD/804021239073/SALARY/OCT/2023/Oct
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/528537414006/Tracy Curtis/Fedral Bank/UPI
MERCHENT,UPI/P2M/351144007320/Danielle Morgan/HDFC Bank
BANK_TRANSFER,UPI/P2A/203869712844/Omar Cordova/Axis Bank/UPI
MERCHENT,UPI/P2M/210492839101/Brad Perry/State Bank
BANK_TRANSFER,UPI/P2A/285016626800/Kayla Smith/Axis Bank/UPI
MERCHENT,UPI/P2M/558983626841/Danielle Haynes/State Bank
MERCHENT,UPI/P2M/918776204906/Jacob Carlson/ICICI Bank
BANK_TRANSFER,UPI/P2A/247697778043/Todd Henson/HDFC Bank/UPI
SALARY,INB-BULK-UPLD/507278302572/SALARY/MAY/2021/May
MERCHENT,UPI/P2M/178694142284/Micheal Mitchell/ICICI Bank
MERCHENT,UPI/P2M/723531755395/Alejandra Walker/Yes Bank
SALARY,INB-BULK-UPLD/671619681488/SALARY/JUN/2023/Jun
BANK_TRANSFER,UPI/P2A/717943839699/David Baxter/State Bank/UPI
MERCHENT,UPI/P2M/548898212217/Mr. Kyle Hunter PhD/Axis Bank
SALARY,INB-BULK-UPLD/484396601960/SALARY/OCT/2023/Oct
MERCHENT,UPI/P2M/228941090434/Daniel Carter/HDFC Bank
SALARY,INB-BULK-UPLD/679360845588/SALARY/AUG/2023/Aug
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/512130846409/SALARY/JUN/2021/Jun
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/142099038616/Kimberly Rivera/ICICI Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/612323822354/Oscar Bird/HDFC Bank
BANK_TRANSFER,UPI/P2A/488157720479/Phyllis Oconnell/ICICI Bank/UPI
BANK_TRANSFER,UPI/P2A/707047211656/Alison Fisher/Axis Bank/UPI
MERCHENT,UPI/P2M/664915658753/Tara Gonzales/Fedral Bank
MERCHENT,UPI/P2M/657821904572/Joel Warner/State Bank
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/649797842294/Mr. William King/HDFC Bank/UPI
BANK_TRANSFER,UPI/P2A/271389083515/Alyssa Bennett/Fedral Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/903240241254/Stephanie Walker/Yes Bank/UPI
SALARY,INB-BULK-UPLD/175625045885/SALARY/DEC/2023/Dec
SALARY,INB-BULK-UPLD/831998061288/SALARY/AUG/2023/Aug
BANK_TRANSFER,UPI/P2A/697227112636/David Wright/Yes Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/762352674777/SALARY/MAY/2020/May
BANK_TRANSFER,UPI/P2A/545710890424/Bonnie Alvarado/HDFC Bank/UPI
MERCHENT,UPI/P2M/524204262537/Crystal Moore/Yes Bank
BANK_TRANSFER,UPI/P2A/121888038309/Bradley Turner/Axis Bank/UPI
MERCHENT,UPI/P2M/253368253458/Denise Stewart/Yes Bank
MERCHENT,UPI/P2M/150843151696/Henry Harris/HDFC Bank
MERCHENT,UPI/P2M/363809426062/Carlos Smith/Axis Bank
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/843133415560/Jeremy Morris/Yes Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/678483181515/Carolyn Adams/Axis Bank/UPI
BANK_TRANSFER,UPI/P2A/666826668366/Connie Lowery/Yes Bank/UPI
BANK_TRANSFER,UPI/P2A/247406727226/Robert Hood/ICICI Bank/UPI
SALARY,INB-BULK-UPLD/949632760796/SALARY/NOV/2022/Nov
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/950034301180/Justin Olsen/State Bank/UPI
MERCHENT,UPI/P2M/570523388655/Suzanne Weeks/ICICI Bank
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/826301658518/John Greene/ICICI Bank
SALARY,INB-BULK-UPLD/232099238434/SALARY/MAY/2020/May
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/299128994966/SALARY/DEC/2020/Dec
MERCHENT,UPI/P2M/332157084367/Melissa Mcclure/ICICI Bank
BANK_TRANSFER,UPI/P2A/111420022989/Heidi Evans/ICICI Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/428427275403/Valerie Sutton/Fedral Bank/UPI
BANK_TRANSFER,UPI/P2A/305942388311/Jeremiah Reynolds/HDFC Bank/UPI
MERCHENT,UPI/P2M/802557535097/Brett Hill/Axis Bank
BANK_TRANSFER,UPI/P2A/630890298752/Jennifer Torres/HDFC Bank/UPI
BANK_TRANSFER,UPI/P2A/550875380599/Robert Stewart/ICICI Bank/UPI
SALARY,INB-BULK-UPLD/467913330951/SALARY/FEB/2020/Feb
SALARY,INB-BULK-UPLD/496909018394/SALARY/NOV/2020/Nov
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/978712020732/SALARY/MAR/2021/Mar
MERCHENT,UPI/P2M/683626944629/Crystal Jefferson/ICICI Bank
MERCHENT,UPI/P2M/743413169617/Victoria Banks/State Bank
SALARY,INB-BULK-UPLD/464455104802/SALARY/DEC/2020/Dec
MERCHENT,UPI/P2M/104440855909/Cynthia Carpenter/State Bank
MERCHENT,UPI/P2M/282523615699/Thomas Bullock/Axis Bank
SALARY,INB-BULK-UPLD/957923697678/SALARY/NOV/2021/Nov
MERCHENT,UPI/P2M/917467216231/Joseph Cardenas/Axis Bank
MERCHENT,UPI/P2M/300591480282/William Martin/Axis Bank
BANK_TRANSFER,UPI/P2A/193492495672/Leah Adams/Yes Bank/UPI
SALARY,INB-BULK-UPLD/300826189974/SALARY/SEP/2022/Sep
BANK_TRANSFER,UPI/P2A/878103030453/Michael Keller/State Bank/UPI
SALARY,INB-BULK-UPLD/444582408125/SALARY/JUL/2021/Jul
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/416001425424/Lynn Allen/HDFC Bank
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/178947701537/SALARY/AUG/2022/Aug
SALARY,INB-BULK-UPLD/591344870871/SALARY/DEC/2023/Dec
SALARY,INB-BULK-UPLD/705272493220/SALARY/JAN/2020/Jan
BANK_TRANSFER,UPI/P2A/397289427707/Abigail Burton/Axis Bank/UPI
BANK_TRANSFER,UPI/P2A/219220800308/Michael Peters/HDFC Bank/UPI
MERCHENT,UPI/P2M/340286269288/Steven Sutton/Fedral Bank
SALARY,INB-BULK-UPLD/881689838843/SALARY/OCT/2020/Oct
BANK_TRANSFER,UPI/P2A/874644648384/Hannah Garcia/ICICI Bank/UPI
SALARY,INB-BULK-UPLD/958584098881/SALARY/JUN/2020/Jun
BANK_TRANSFER,UPI/P2A/966890864560/Dennis Ramirez/HDFC Bank/UPI
MERCHENT,UPI/P2M/310163625987/Amanda Anderson/State Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/576952441927/Beverly Ellis/ICICI Bank
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/113839498914/Jennifer Phillips/HDFC Bank/UPI
SALARY,INB-BULK-UPLD/599353725273/SALARY/JUL/2020/Jul
MERCHENT,UPI/P2M/338227046901/Lauren Weber/Fedral Bank
SALARY,INB-BULK-UPLD/855561899673/SALARY/AUG/2020/Aug
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/311545292967/James Dennis PhD/Axis Bank
SALARY,INB-BULK-UPLD/449302754989/SALARY/AUG/2021/Aug
SALARY,INB-BULK-UPLD/876576102480/SALARY/JUL/2022/Jul
BANK_TRANSFER,UPI/P2A/512949440626/Christina Jones/Fedral Bank/UPI
BANK_TRANSFER,UPI/P2A/225734572269/Chris Johnson/Fedral Bank/UPI
BANK_TRANSFER,UPI/P2A/360676788946/Gary Pierce/Axis Bank/UPI
MERCHENT,UPI/P2M/924588886221/Terry Ramsey/State Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/644394281481/Justin Acevedo/Axis Bank/UPI
MERCHENT,UPI/P2M/687866222506/Courtney Freeman/Yes Bank
SALARY,INB-BULK-UPLD/588428601584/SALARY/SEP/2021/Sep
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/986078343304/Ashley Lee/Fedral Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/446271132228/Steven Wright/Yes Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/548569574438/SALARY/JUL/2021/Jul
BANK_TRANSFER,UPI/P2A/277323463361/Sydney Erickson/Yes Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/848021742089/Bill Spencer/Axis Bank/UPI
BANK_TRANSFER,UPI/P2A/530981575979/Amanda Daniels/State Bank/UPI
SALARY,INB-BULK-UPLD/824540901309/SALARY/OCT/2022/Oct
MERCHENT,UPI/P2M/902481969032/Amber Whitehead/ICICI Bank
SALARY,INB-BULK-UPLD/339995771292/SALARY/NOV/2021/Nov
SALARY,INB-BULK-UPLD/760772713870/SALARY/APR/2023/Apr
BANK_TRANSFER,UPI/P2A/195599696663/Carlos Smith/Yes Bank/UPI
MERCHENT,UPI/P2M/169348529348/Emily Johns/ICICI Bank
MERCHENT,UPI/P2M/471343126415/Rebecca Rogers/Fedral Bank
MERCHENT,UPI/P2M/935251153465/Cory Nelson/HDFC Bank
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/659772402912/Sabrina Mcgee/State Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/696668345887/SALARY/JAN/2021/Jan
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/411560489460/SALARY/FEB/2020/Feb
MERCHENT,UPI/P2M/229308933818/Lisa Garcia/Yes Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/889976414583/Karen Sosa/ICICI Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/335514861416/Mary Cunningham/ICICI Bank
BANK_TRANSFER,UPI/P2A/212320323134/Todd Harding/Axis Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/707842426980/Sarah Moore/ICICI Bank/UPI
SALARY,INB-BULK-UPLD/312765131845/SALARY/MAR/2023/Mar
MERCHENT,UPI/P2M/750987714696/Brenda Oneal/ICICI Bank
SALARY,INB-BULK-UPLD/710064670850/SALARY/SEP/2021/Sep
SALARY,INB-BULK-UPLD/520157520594/SALARY/JUN/2022/Jun
MERCHENT,UPI/P2M/285943174508/Danielle Phillips/Yes Bank
SALARY,INB-BULK-UPLD/828106902254/SALARY/NOV/2023/Nov
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/522021395076/Crystal Harrison/Fedral Bank/UPI
SALARY,INB-BULK-UPLD/260280003018/SALARY/OCT/2022/Oct
SALARY,INB-BULK-UPLD/334395109519/SALARY/FEB/2021/Feb
BANK_TRANSFER,UPI/P2A/685998588402/Vanessa Robertson/Fedral Bank/UPI
BANK_TRANSFER,UPI/P2A/667651342368/Michele Johnson/Axis Bank/UPI
SALARY,INB-BULK-UPLD/506337796081/SALARY/JUN/2021/Jun
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/485676949153/Barbara Green/Yes Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/606883574635/Jay Rodriguez/HDFC Bank/UPI
SALARY,INB-BULK-UPLD/642971042833/SALARY/JUN/2020/Jun
SALARY,INB-BULK-UPLD/686321205114/SALARY/FEB/2020/Feb
SALARY,INB-BULK-UPLD/922982265827/SALARY/JAN/2022/Jan
BANK_TRANSFER,UPI/P2A/370902810405/Megan Jones/HDFC Bank/UPI
SALARY,INB-BULK-UPLD/141841442130/SALARY/JUN/2021/Jun
BANK_TRANSFER,UPI/P2A/636707830314/Elizabeth Anderson/Yes Bank/UPI
BANK_TRANSFER,UPI/P2A/562426050432/Richard Ingram/Axis Bank/UPI
BANK_TRANSFER,UPI/P2A/934733160522/Martin Hayes/Axis Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/264034024722/SALARY/MAR/2021/Mar
MERCHENT,UPI/P2M/945203162416/Jordan Smith/ICICI Bank
BANK_TRANSFER,UPI/P2A/933021981424/Patricia Hess/State Bank/UPI
SALARY,INB-BULK-UPLD/425020035474/SALARY/SEP/2022/Sep
MERCHENT,UPI/P2M/449506329435/Todd Mcclure/HDFC Bank
SALARY,INB-BULK-UPLD/954198878237/SALARY/MAY/2021/May
SALARY,INB-BULK-UPLD/811632774577/SALARY/JUN/2022/Jun
BANK_TRANSFER,UPI/P2A/344910965451/Angela Smith/ICICI Bank/UPI
SALARY,INB-BULK-UPLD/980102785343/SALARY/OCT/2020/Oct
MERCHENT,UPI/P2M/762620893445/David Meyer/ICICI Bank
MERCHENT,UPI/P2M/618878345681/Dale Brown/ICICI Bank
SALARY,INB-BULK-UPLD/834019083317/SALARY/FEB/2021/Feb
BANK_TRANSFER,UPI/P2A/812246291107/Joyce Bradley/ICICI Bank/UPI
MERCHENT,UPI/P2M/276783607243/Thomas Schneider MD/State Bank
SALARY,INB-BULK-UPLD/501837141422/SALARY/AUG/2021/Aug
SALARY,INB-BULK-UPLD/932712282595/SALARY/DEC/2021/Dec
BANK_TRANSFER,UPI/P2A/470318499738/Jacqueline Barrera/State Bank/UPI
SALARY,INB-BULK-UPLD/788315697360/SALARY/APR/2022/Apr
BANK_TRANSFER,UPI/P2A/889284094584/Crystal Stafford/ICICI Bank/UPI
BANK_TRANSFER,UPI/P2A/602682939700/Stephanie Diaz/State Bank/UPI
MERCHENT,UPI/P2M/630589258639/Marie Brown/Axis Bank
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/630288879132/SALARY/JUN/2021/Jun
MERCHENT,UPI/P2M/467732183015/Monica Lopez/State Bank
BANK_TRANSFER,UPI/P2A/502314331723/Earl Wells/Yes Bank/UPI
SALARY,INB-BULK-UPLD/670684177154/SALARY/DEC/2023/Dec
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/219399288324/Guy Howe/Fedral Bank/UPI
SALARY,INB-BULK-UPLD/753768357035/SALARY/AUG/2020/Aug
MERCHENT,UPI/P2M/127345388083/Michael Mitchell/Fedral Bank
SALARY,INB-BULK-UPLD/104365420511/SALARY/APR/2022/Apr
BANK_TRANSFER,UPI/P2A/897200968807/James Washington/HDFC Bank/UPI
BANK_TRANSFER,UPI/P2A/885754565195/Nathan Chase/ICICI Bank/UPI
SALARY,INB-BULK-UPLD/893478582817/SALARY/NOV/2021/Nov
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/371140953737/Ronald Parks/State Bank
MERCHENT,UPI/P2M/423706653050/Carrie Pham/HDFC Bank
BANK_TRANSFER,UPI/P2A/924672053176/Joan Montgomery/Fedral Bank/UPI
BANK_TRANSFER,UPI/P2A/249048626965/Kristin Hall/HDFC Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/781867442153/SALARY/MAY/2023/May
SALARY,INB-BULK-UPLD/851964421025/SALARY/JAN/2020/Jan
BANK_TRANSFER,UPI/P2A/438347030153/Joy Hayes/HDFC Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/636006645980/Omar Scott/Yes Bank
BANK_TRANSFER,UPI/P2A/850290599206/Ashley Anderson/State Bank/UPI
SALARY,INB-BULK-UPLD/356775868502/SALARY/APR/2020/Apr
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/425309100426/Adam Le/HDFC Bank/UPI
SALARY,INB-BULK-UPLD/729379360079/SALARY/JUN/2022/Jun
MERCHENT,UPI/P2M/260551426489/Edward Taylor/ICICI Bank
BANK_TRANSFER,UPI/P2A/303856504787/Christina Marshall DDS/Fedral Bank/UPI
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/936415717088/Joseph Green/Yes Bank
BANK_TRANSFER,UPI/P2A/205751858534/Andrew Wiggins/Fedral Bank/UPI
SALARY,INB-BULK-UPLD/773402917310/SALARY/APR/2023/Apr
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/560223865370/SALARY/OCT/2022/Oct
BANK_TRANSFER,UPI/P2A/118193879483/Logan Miller/Fedral Bank/UPI
BANK_TRANSFER,UPI/P2A/701436631295/Louis Contreras/HDFC Bank/UPI
MERCHENT,UPI/P2M/137414814590/Marissa Russell/Axis Bank
SALARY,INB-BULK-UPLD/948131287858/SALARY/AUG/2021/Aug
BANK_TRANSFER,UPI/P2A/789562968770/John Terry/Fedral Bank/UPI
BANK_TRANSFER,UPI/P2A/534608162556/Kaitlyn Hogan/HDFC Bank/UPI
SALARY,INB-BULK-UPLD/320251309970/SALARY/DEC/2020/Dec
BANK_TRANSFER,UPI/P2A/790831486055/Benjamin Lyons/ICICI Bank/UPI
MERCHENT,UPI/P2M/226811202096/Danny Clark/ICICI Bank
MERCHENT,UPI/P2M/439329095190/Shaun Cameron/Axis Bank
MERCHENT,UPI/P2M/379934115171/Steven Acevedo/Fedral Bank
MUTUAL_FUND,NACH-DR- GROWW
MERCHENT,UPI/P2M/823086859841/Rodney Davis/Yes Bank
MUTUAL_FUND,NACH-DR- GROWW
SALARY,INB-BULK-UPLD/418244188529/SALARY/MAR/2021/Mar
MUTUAL_FUND,NACH-DR- GROWW
BANK_TRANSFER,UPI/P2A/634023034950/Antonio Cameron/ICICI Bank/UPI
BANK_TRANSFER,UPI/P2A/152724650746/Mark Serrano/Axis Bank/UPI
BANK_TRANSFER,UPI/P2A/702842870358/Claire Melendez/ICICI Bank/UPI
SALARY,INB-BULK-UPLD/836808589675/SALARY/MAR/2022/Mar
MUTUAL_FUND,NACH-DR- GROWW
